symbol,earnings_date_et,earnings_time,source_name,source_url_or_file_name,source_published_at_utc,known_at_utc,revision_status,source_calendar_coverage_start_date_et,source_calendar_coverage_end_date_et
LLY,2022-12-13,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947822000277/lly-20221213.htm,2022-12-13T12:03:51Z,2022-12-13T12:03:51Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2023-02-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947823000025/lly-20230202.htm,2023-02-02T12:13:44Z,2023-02-02T12:13:44Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2023-04-27,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947823000160/lly-20230427.htm,2023-04-27T11:02:50Z,2023-04-27T11:02:50Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2023-08-08,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947823000219/lly-20230808.htm,2023-08-08T11:01:37Z,2023-08-08T11:01:37Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2023-11-02,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947823000282/lly-20231102.htm,2023-11-02T11:02:01Z,2023-11-02T11:02:01Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2024-02-06,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947824000032/lly-20240206.htm,2024-02-06T12:04:24Z,2024-02-06T12:04:24Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
LLY,2024-04-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/59478/000005947824000116/lly-20240430.htm,2024-04-30T11:04:14Z,2024-04-30T11:04:14Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2021-10-28,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000115752321001269/a52516925.htm,2021-10-28T11:01:56Z,2021-10-28T11:01:56Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2022-02-24,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000115752322000249/a52584477.htm,2022-02-24T12:00:39Z,2022-02-24T12:00:39Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
NEM,2022-04-22,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1164727/000115752322000461/a52693640.htm,2022-04-22T11:00:49Z,2022-04-22T11:00:49Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
